 
Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
11,Sun,1968-11-24,,St. Louis Cardinals,,Atlanta Falcons,boxscore,17,12,260,3,162,1
11,Sun,1968-11-24,,Dallas Cowboys,@,Chicago Bears,boxscore,34,3,343,2,147,3
11,Sun,1968-11-24,,Cleveland Browns,,Philadelphia Eagles,boxscore,47,13,438,0,342,6
11,Sun,1968-11-24,,Baltimore Colts,,Minnesota Vikings,boxscore,21,9,413,3,229,2
11,Sun,1968-11-24,,New Orleans Saints,@,Detroit Lions,boxscore,20,20,262,3,274,2
11,Sun,1968-11-24,,Green Bay Packers,@,Washington Redskins,boxscore,27,7,388,3,167,3
11,Sun,1968-11-24,,Los Angeles Rams,,New York Giants,boxscore,24,21,311,4,273,3
11,Sun,1968-11-24,,San Francisco 49ers,@,Pittsburgh Steelers,boxscore,45,28,399,1,351,5
12,Thu,1968-11-28,,Dallas Cowboys,,Washington Redskins,boxscore,29,20,285,1,248,5
12,Thu,1968-11-28,,Philadelphia Eagles,@,Detroit Lions,boxscore,12,0,161,1,168,4
12,Sun,1968-12-01,,Baltimore Colts,,Atlanta Falcons,boxscore,44,0,386,1,143,6
12,Sun,1968-12-01,,Chicago Bears,@,New Orleans Saints,boxscore,23,17,259,3,292,5
12,Sun,1968-12-01,,Cleveland Browns,,New York Giants,boxscore,45,10,378,2,182,5
12,Sun,1968-12-01,,St. Louis Cardinals,@,Pittsburgh Steelers,boxscore,20,10,322,2,167,3
12,Sun,1968-12-01,,San Francisco 49ers,,Green Bay Packers,boxscore,27,20,352,1,217,1
12,Sun,1968-12-01,,Los Angeles Rams,@,Minnesota Vikings,boxscore,31,3,324,2,127,5
13,Sat,1968-12-07,,Baltimore Colts,@,Green Bay Packers,boxscore,16,3,242,2,163,5
13,Sun,1968-12-08,,Detroit Lions,@,Atlanta Falcons,boxscore,24,7,342,1,230,4
13,Sun,1968-12-08,,Chicago Bears,@,Los Angeles Rams,boxscore,17,16,248,2,210,2
13,Sun,1968-12-08,,Cleveland Browns,@,Washington Redskins,boxscore,24,21,354,3,326,3
13,Sun,1968-12-08,,St. Louis Cardinals,@,New York Giants,boxscore,28,21,351,3,441,2
13,Sun,1968-12-08,,Dallas Cowboys,,Pittsburgh Steelers,boxscore,28,7,341,2,313,1
13,Sun,1968-12-08,,Minnesota Vikings,@,San Francisco 49ers,boxscore,30,20,247,1,280,3
13,Sun,1968-12-08,,Philadelphia Eagles,,New Orleans Saints,boxscore,29,17,318,2,311,1
14,Sat,1968-12-14,,St. Louis Cardinals,,Cleveland Browns,boxscore,27,16,324,0,318,0
14,Sun,1968-12-15,,San Francisco 49ers,@,Atlanta Falcons,boxscore,14,12,458,4,150,2
14,Sun,1968-12-15,,Green Bay Packers,@,Chicago Bears,boxscore,28,27,316,1,291,3
14,Sun,1968-12-15,,Baltimore Colts,@,Los Angeles Rams,boxscore,28,24,208,2,312,1
14,Sun,1968-12-15,,Dallas Cowboys,@,New York Giants,boxscore,28,10,320,3,319,1
14,Sun,1968-12-15,,Washington Redskins,,Detroit Lions,boxscore,14,3,208,2,368,4
14,Sun,1968-12-15,,Minnesota Vikings,@,Philadelphia Eagles,boxscore,24,17,280,2,286,2
14,Sun,1968-12-15,,New Orleans Saints,,Pittsburgh Steelers,boxscore,24,14,343,0,350,4
,,Playoffs,,,,,,,,,,,
Division,Sat,1968-12-21,,Cleveland Browns,,Dallas Cowboys,boxscore,31,20,280,2,286,4
Division,Sun,1968-12-22,,Baltimore Colts,,Minnesota Vikings,boxscore,24,14,295,2,351,3
Champ,Sun,1968-12-29,,Baltimore Colts,@,Cleveland Browns,boxscore,34,0,353,2,173,3
SuperBowl,Sun,1969-01-12,,New York Jets,N,Baltimore Colts,boxscore,16,7,337,1,324,5
